"id"	"oas"
"CHRNA3"	"oas:101123239"
"RELL2"	"oas:101107596"
"XKRX"	"oas:101104045"
"RPS8"	"oas:101117800"
"GID4"	"oas:101111644"
"ITPKB"	"oas:101113512"
"ABRACL"	"oas:101115375"
"HFE"	"oas:101114997"
"TMEM150C"	"oas:101115125"
"EML1"	"oas:101117881"
"HECA"	"oas:101122796"
"LAT"	"oas:443438"
"MMP15"	"oas:101122213"
"ARAP3"	"oas:101105821"
"MMP25"	"oas:101120293"
"BEST4"	"oas:101118062"
"NRIP1"	"oas:101117463"
"PPP4R1"	"oas:101103940"
"LTBP2"	"oas:101107605"
"NXPE4"	"oas:101114973"
"CHRNB4"	"oas:101123499"
"ARFGEF1"	"oas:101102247"
"ITGA6"	"oas:101113656"
"ITGA6"	"oas:101113656"
"SBK3"	"oas:101118981"
"RBP3"	"oas:101115179"
"TMEM140"	"oas:101121849"
"ARL13A"	"oas:101119452"
"FBXO2"	"oas:101113718"
"KIAA1841"	"oas:101110929"
"KIAA1841"	"oas:101110929"
"LUZP6"	"oas:105607539"
"PLK3"	"oas:101109760"
"PLK3"	"oas:101109760"
"SLC22A14"	"oas:101115994"
"ASH2L"	"oas:101111689"
"CHRM2"	"oas:101102897"
"CFAP20"	"oas:101113597"
"ATPAF2"	"oas:101111895"
"MED31"	"oas:101104161"
"TAS2R3"	"oas:101113144"
"GDF2"	"oas:101115426"
"TXLNB"	"oas:101115628"
"TXLNB"	"oas:101115628"
"BTBD19"	"oas:101110018"
"TAS2R4"	"oas:101120233"
"ADORA1"	"oas:101109816"
"ADORA1"	"oas:101109816"
"GDF10"	"oas:101115678"
"CHCHD4"	"oas:101105782"
"SH3BGRL"	"oas:101111864"
"TRMT2B"	"oas:101119702"
"TFIP11"	"oas:101104606"
"DMXL1"	"oas:101115363"
"PEF1"	"oas:101118674"
"RAB31"	"oas:101104195"
"SERPINI1"	"oas:101122566"
"SERPINI1"	"oas:101122566"
"SBK2"	"oas:101119243"
"AREL1"	"oas:101106945"
"FBXL15"	"oas:101114741"
"SCD5"	"oas:100127208"
"FAM166A"	"oas:101104228"
"TOP1MT"	"oas:101114532"
"TXNDC2"	"oas:101104448"
"UBE2Q2"	"oas:101101924"
"UBE2Q2"	"oas:101101924"
"CSNK2A2"	"oas:101122459"
"SPAG1"	"oas:101109497"
"SLC27A3"	"oas:101101860"
"TAS2R39"	"oas:105612479"
"SSC5D"	"oas:101119500"
"STAR"	"oas:443122"
"ENTPD8"	"oas:105612430"
"TAS2R60"	"oas:101102305"
"TXNDC17"	"oas:100302359"
"CDC25B"	"oas:101120511"
"ZSCAN10"	"oas:101118749"
"MYBPH"	"oas:101104282"
"BANF1"	"oas:101112433"
"ACCSL"	"oas:101116173"
"FCF1"	"oas:101107871"
"PTPN20"	"oas:101115853"
"PTPN20"	"oas:101115853"
"NMBR"	"oas:101116407"
"PEX13"	"oas:101118094"
"TMEM35A"	"oas:101104301"
"DRC3"	"oas:101121436"
"ZNF696"	"oas:101115041"
"NOXA1"	"oas:101104479"
